p_c,R,M,e(pc),col2(pc)
3.348397e-04,8.680000e+00,1.014255e+00,2.040147e-03,1.267093e+03
3.681265e-04,8.580000e+00,1.032099e+00,2.136409e-03,1.284506e+03
4.047224e-04,8.480000e+00,1.049348e+00,2.241007e-03,1.302891e+03
4.449563e-04,8.385000e+00,1.065779e+00,2.354756e-03,1.322289e+03
4.891899e-04,8.285000e+00,1.081196e+00,2.478559e-03,1.342736e+03
5.378208e-04,8.190000e+00,1.095445e+00,2.613393e-03,1.364253e+03
5.912862e-04,8.095000e+00,1.108375e+00,2.760375e-03,1.386881e+03
6.500666e-04,8.000000e+00,1.119882e+00,2.920720e-03,1.410645e+03
7.146905e-04,7.905000e+00,1.129871e+00,3.095787e-03,1.435568e+03
7.857387e-04,7.815000e+00,1.138290e+00,3.287092e-03,1.461686e+03
8.638499e-04,7.720000e+00,1.145098e+00,3.496312e-03,1.489030e+03
9.497262e-04,7.630000e+00,1.150281e+00,3.725301e-03,1.517618e+03
1.044140e-03,7.535000e+00,1.153845e+00,3.976120e-03,1.547477e+03
1.147939e-03,7.445000e+00,1.155812e+00,4.251058e-03,1.578634e+03
1.262057e-03,7.355000e+00,1.156218e+00,4.552637e-03,1.611104e+03
1.387519e-03,7.265000e+00,1.155121e+00,4.883665e-03,1.644923e+03
1.525454e-03,7.175000e+00,1.152588e+00,5.247238e-03,1.680103e+03
1.677101e-03,7.090000e+00,1.148687e+00,5.646785e-03,1.716659e+03
1.843823e-03,7.000000e+00,1.143505e+00,6.086100e-03,1.754615e+03
2.027120e-03,6.915000e+00,1.137135e+00,6.569368e-03,1.794000e+03
