p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
4.595464e-06,6.770000e+00,9.577504e-02,3.541814e-04,1.058169e+00,3.224810e+02,0.000000e+00,5.403408e-02,1.000000e+00
4.746247e-06,6.770000e+00,9.820559e-02,3.568931e-04,1.066598e+00,3.226517e+02,0.000000e+00,5.565719e-02,1.000000e+00
4.901977e-06,6.770000e+00,1.007180e-01,3.596938e-04,1.075304e+00,3.228280e+02,0.000000e+00,5.733356e-02,1.000000e+00
5.062818e-06,6.770000e+00,1.033124e-01,3.625863e-04,1.084296e+00,3.230101e+02,0.000000e+00,5.906493e-02,1.000000e+00
5.228935e-06,6.775000e+00,1.060221e-01,3.655738e-04,1.093583e+00,3.231981e+02,0.000000e+00,6.085311e-02,1.000000e+00
5.400503e-06,6.780000e+00,1.088141e-01,3.686592e-04,1.103174e+00,3.233924e+02,0.000000e+00,6.269997e-02,1.000000e+00
5.577701e-06,6.785000e+00,1.116886e-01,3.718459e-04,1.113080e+00,3.235930e+02,0.000000e+00,6.460742e-02,1.000000e+00
5.760712e-06,6.790000e+00,1.146453e-01,3.751372e-04,1.123311e+00,3.238002e+02,0.000000e+00,6.657746e-02,1.000000e+00
5.949728e-06,6.795000e+00,1.176841e-01,3.784854e-04,1.133725e+00,3.240131e+02,0.000000e+00,6.860393e-02,1.000000e+00
6.144947e-06,6.805000e+00,1.208513e-01,3.811974e-04,1.142241e+00,3.242178e+02,0.000000e+00,7.057717e-02,1.000000e+00
6.346570e-06,6.815000e+00,1.241185e-01,3.839985e-04,1.151037e+00,3.244293e+02,0.000000e+00,7.261515e-02,1.000000e+00
6.554809e-06,6.825000e+00,1.274970e-01,3.868914e-04,1.160121e+00,3.246477e+02,0.000000e+00,7.472001e-02,1.000000e+00
6.769881e-06,6.835000e+00,1.309870e-01,3.898793e-04,1.169503e+00,3.248732e+02,0.000000e+00,7.689392e-02,1.000000e+00
6.992009e-06,6.845000e+00,1.345775e-01,3.929652e-04,1.179193e+00,3.251062e+02,0.000000e+00,7.913917e-02,1.000000e+00
7.221426e-06,6.860000e+00,1.383079e-01,3.961523e-04,1.189202e+00,3.253468e+02,0.000000e+00,8.145808e-02,1.000000e+00
7.458370e-06,6.870000e+00,1.421106e-01,3.994441e-04,1.199538e+00,3.255953e+02,0.000000e+00,8.385309e-02,1.000000e+00
7.703089e-06,6.885000e+00,1.460531e-01,4.028438e-04,1.210214e+00,3.258520e+02,0.000000e+00,8.632667e-02,1.000000e+00
7.955837e-06,6.900000e+00,1.501037e-01,4.060664e-04,1.220381e+00,3.261102e+02,0.000000e+00,8.879021e-02,1.000000e+00
8.216879e-06,6.920000e+00,1.543084e-01,4.090174e-04,1.229758e+00,3.263680e+02,0.000000e+00,9.121543e-02,1.000000e+00
8.486485e-06,6.935000e+00,1.586195e-01,4.120653e-04,1.239443e+00,3.266343e+02,0.000000e+00,9.372022e-02,1.000000e+00
8.764937e-06,6.950000e+00,1.630538e-01,4.152132e-04,1.249445e+00,3.269092e+02,0.000000e+00,9.630720e-02,1.000000e+00
9.052526e-06,6.970000e+00,1.676521e-01,4.184644e-04,1.259776e+00,3.271933e+02,0.000000e+00,9.897905e-02,1.000000e+00
9.349551e-06,6.990000e+00,1.723794e-01,4.218223e-04,1.270446e+00,3.274866e+02,0.000000e+00,1.017386e-01,1.000000e+00
9.656322e-06,7.010000e+00,1.772355e-01,4.252903e-04,1.281466e+00,3.277896e+02,0.000000e+00,1.045886e-01,1.000000e+00
9.973158e-06,7.030000e+00,1.822214e-01,4.286618e-04,1.292187e+00,3.280974e+02,0.000000e+00,1.076858e-01,1.000000e+00
