p_c,R,M,e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
6.618107e-05,5.945000e+00,4.626065e-01,9.320300e-04,3.200648e+00,3.881950e+02,0.000000e+00,2.938412e-01,1.000000e+00
6.791600e-05,5.980000e+00,4.723595e-01,9.380906e-04,3.223216e+00,3.889550e+02,0.000000e+00,2.940314e-01,1.000000e+00
6.969642e-05,6.020000e+00,4.831667e-01,9.443101e-04,3.246376e+00,3.897349e+02,0.000000e+00,2.942265e-01,1.000000e+00
7.152350e-05,6.055000e+00,4.930885e-01,9.506665e-04,3.270118e+00,3.905263e+02,0.000000e+00,2.944127e-01,1.000000e+00
7.339849e-05,6.095000e+00,5.042682e-01,9.571761e-04,3.294471e+00,3.913339e+02,0.000000e+00,2.945966e-01,1.000000e+00
7.532263e-05,6.130000e+00,5.145398e-01,9.638487e-04,3.319455e+00,3.921599e+02,0.000000e+00,2.947784e-01,1.000000e+00
7.729721e-05,6.165000e+00,5.249829e-01,9.706640e-04,3.345068e+00,3.929962e+02,0.000000e+00,2.949356e-01,1.000000e+00
7.932355e-05,6.205000e+00,5.367290e-01,9.776580e-04,3.371353e+00,3.938544e+02,0.000000e+00,2.950970e-01,1.000000e+00
8.140301e-05,6.240000e+00,5.475319e-01,9.851195e-04,3.399314e+00,3.947227e+02,0.000000e+00,2.906456e-01,1.000000e+00
8.353699e-05,6.275000e+00,5.585087e-01,9.928343e-04,3.428208e+00,3.956111e+02,0.000000e+00,2.851391e-01,1.000000e+00
8.572690e-05,6.310000e+00,5.696605e-01,1.001091e-03,3.459012e+00,3.965135e+02,0.000000e+00,2.781224e-01,1.000000e+00
8.797423e-05,6.345000e+00,5.807883e-01,1.009824e-03,3.491503e+00,3.974323e+02,0.000000e+00,2.698792e-01,1.000000e+00
9.028047e-05,6.375000e+00,5.912903e-01,1.018960e-03,3.525460e+00,3.983680e+02,0.000000e+00,2.626311e-01,1.000000e+00
9.264717e-05,6.410000e+00,6.029502e-01,1.028609e-03,3.561261e+00,3.993170e+02,0.000000e+00,2.570733e-01,1.000000e+00
9.507591e-05,6.440000e+00,6.135658e-01,1.038641e-03,3.598468e+00,4.002850e+02,0.000000e+00,2.515972e-01,1.000000e+00
9.756832e-05,6.470000e+00,6.243303e-01,1.049252e-03,3.637780e+00,4.012643e+02,0.000000e+00,2.465253e-01,1.000000e+00
1.001261e-04,6.500000e+00,6.351641e-01,1.124409e-03,3.910024e+00,4.022100e+02,0.000000e+00,2.183592e-01,1.105024e+00
1.027509e-04,6.520000e+00,6.422034e-01,1.381752e-03,4.839684e+00,4.030146e+02,0.000000e+00,1.250692e-01,1.507298e+00
1.054445e-04,6.525000e+00,6.448299e-01,1.645842e-03,5.793715e+00,4.038402e+02,0.000000e+00,2.933362e-02,1.920118e+00
1.082087e-04,6.520000e+00,6.448640e-01,1.706091e-03,6.012817e+00,4.045380e+02,0.000000e+00,7.486326e-02,2.000000e+00
1.110454e-04,6.520000e+00,6.461462e-01,1.717658e-03,6.056442e+00,4.052184e+02,0.000000e+00,1.558723e-01,2.000000e+00
1.139564e-04,6.515000e+00,6.463934e-01,1.729529e-03,6.101211e+00,4.059167e+02,0.000000e+00,2.390049e-01,2.000000e+00
1.169438e-04,6.510000e+00,6.468411e-01,1.741519e-03,6.146625e+00,4.066209e+02,0.000000e+00,2.499456e-01,2.000000e+00
1.200095e-04,6.505000e+00,6.474780e-01,1.753796e-03,6.193158e+00,4.073419e+02,0.000000e+00,2.511278e-01,2.000000e+00
1.231555e-04,6.500000e+00,6.482947e-01,1.766372e-03,6.240845e+00,4.080802e+02,0.000000e+00,2.523351e-01,2.000000e+00
1.263840e-04,6.495000e+00,6.492836e-01,1.779078e-03,6.289236e+00,4.088250e+02,0.000000e+00,2.535259e-01,2.000000e+00
1.296972e-04,6.490000e+00,6.504385e-01,1.792117e-03,6.338897e+00,4.095893e+02,0.000000e+00,2.547480e-01,2.000000e+00
1.330972e-04,6.485000e+00,6.517535e-01,1.805390e-03,6.389565e+00,4.103667e+02,0.000000e+00,2.559776e-01,2.000000e+00
1.365863e-04,6.480000e+00,6.532241e-01,1.818889e-03,6.441230e+00,4.111564e+02,0.000000e+00,2.572118e-01,2.000000e+00
1.401669e-04,6.475000e+00,6.548456e-01,1.832742e-03,6.494250e+00,4.119669e+02,0.000000e+00,2.584785e-01,2.000000e+00
1.438414e-04,6.470000e+00,6.566143e-01,1.846735e-03,6.548051e+00,4.127839e+02,0.000000e+00,2.597250e-01,2.000000e+00
1.476122e-04,6.465000e+00,6.583219e-01,1.861084e-03,6.603237e+00,4.136216e+02,0.000000e+00,2.610020e-01,2.000000e+00
1.514818e-04,6.455000e+00,6.593536e-01,1.875677e-03,6.659513e+00,4.144726e+02,0.000000e+00,2.622818e-01,2.000000e+00
1.554529e-04,6.450000e+00,6.615443e-01,1.890547e-03,6.716976e+00,4.153388e+02,0.000000e+00,2.635704e-01,2.000000e+00
1.595281e-04,6.445000e+00,6.638682e-01,1.905745e-03,6.775781e+00,4.162236e+02,0.000000e+00,2.648787e-01,2.000000e+00
1.637101e-04,6.440000e+00,6.661197e-01,1.921160e-03,6.835640e+00,4.171194e+02,0.000000e+00,2.661795e-01,2.000000e+00
1.680018e-04,6.430000e+00,6.676892e-01,1.936969e-03,6.897040e+00,4.180381e+02,0.000000e+00,2.675120e-01,2.000000e+00
1.724060e-04,6.425000e+00,6.703974e-01,1.952957e-03,6.959417e+00,4.189649e+02,0.000000e+00,2.688252e-01,2.000000e+00
1.769256e-04,6.420000e+00,6.732272e-01,1.969363e-03,7.023429e+00,4.199160e+02,0.000000e+00,2.701728e-01,2.000000e+00
1.815637e-04,6.415000e+00,6.761756e-01,1.985971e-03,7.088511e+00,4.208765e+02,0.000000e+00,2.715037e-01,2.000000e+00
1.863233e-04,6.405000e+00,6.780343e-01,2.002992e-03,7.155240e+00,4.218608e+02,0.000000e+00,2.728645e-01,2.000000e+00
1.912078e-04,6.400000e+00,6.812136e-01,2.020242e-03,7.223142e+00,4.228559e+02,0.000000e+00,2.742121e-01,2.000000e+00
1.962203e-04,6.395000e+00,6.845032e-01,2.037908e-03,7.292729e+00,4.238746e+02,0.000000e+00,2.755869e-01,2.000000e+00
2.013642e-04,6.390000e+00,6.879002e-01,2.055812e-03,7.363545e+00,4.249046e+02,0.000000e+00,2.769459e-01,2.000000e+00
2.066430e-04,6.385000e+00,6.912023e-01,2.074154e-03,7.436135e+00,4.259593e+02,0.000000e+00,2.783333e-01,2.000000e+00
2.120601e-04,6.375000e+00,6.938106e-01,2.092728e-03,7.509974e+00,4.270244e+02,0.000000e+00,2.796997e-01,2.000000e+00
2.176192e-04,6.370000e+00,6.975147e-01,2.111750e-03,7.585651e+00,4.281147e+02,0.000000e+00,2.810939e-01,2.000000e+00
2.233241e-04,6.365000e+00,7.013150e-01,2.131037e-03,7.662698e+00,4.292173e+02,0.000000e+00,2.824747e-01,2.000000e+00
2.291786e-04,6.360000e+00,7.050102e-01,2.150750e-03,7.741558e+00,4.303430e+02,0.000000e+00,2.838733e-01,2.000000e+00
2.351865e-04,6.350000e+00,7.080067e-01,2.170794e-03,7.822005e+00,4.314853e+02,0.000000e+00,2.852659e-01,2.000000e+00
2.413519e-04,6.345000e+00,7.120794e-01,2.191216e-03,7.904179e+00,4.326470e+02,0.000000e+00,2.866619e-01,2.000000e+00
2.476789e-04,6.340000e+00,7.162366e-01,2.212054e-03,7.988202e+00,4.338307e+02,0.000000e+00,2.880678e-01,2.000000e+00
2.541718e-04,6.335000e+00,7.204754e-01,2.233208e-03,8.073835e+00,4.350289e+02,0.000000e+00,2.894627e-01,2.000000e+00
2.608349e-04,6.325000e+00,7.236166e-01,2.254822e-03,8.161473e+00,4.362518e+02,0.000000e+00,2.908732e-01,2.000000e+00
2.676726e-04,6.320000e+00,7.280113e-01,2.276788e-03,8.250860e+00,4.374911e+02,0.000000e+00,2.922699e-01,2.000000e+00
2.746897e-04,6.315000e+00,7.324784e-01,2.299168e-03,8.342180e+00,4.387513e+02,0.000000e+00,2.936697e-01,2.000000e+00
2.818906e-04,6.310000e+00,7.370150e-01,2.322015e-03,8.435593e+00,4.400358e+02,0.000000e+00,2.950815e-01,2.000000e+00
2.892804e-04,6.300000e+00,7.404516e-01,2.345196e-03,8.530785e+00,4.413345e+02,0.000000e+00,2.964728e-01,2.000000e+00
2.968639e-04,6.295000e+00,7.451200e-01,2.368848e-03,8.628131e+00,4.426573e+02,0.000000e+00,2.978703e-01,2.000000e+00
3.046461e-04,6.290000e+00,7.498491e-01,2.392979e-03,8.727679e+00,4.440043e+02,0.000000e+00,2.992735e-01,2.000000e+00
3.126324e-04,6.285000e+00,7.546353e-01,2.417466e-03,8.829150e+00,4.453661e+02,0.000000e+00,3.006547e-01,2.000000e+00
3.208281e-04,6.275000e+00,7.583185e-01,2.442445e-03,8.932910e+00,4.467524e+02,0.000000e+00,3.020412e-01,2.000000e+00
3.292386e-04,6.270000e+00,7.632123e-01,2.467918e-03,9.038996e+00,4.481630e+02,0.000000e+00,3.034308e-01,2.000000e+00
3.378695e-04,6.265000e+00,7.681543e-01,2.493811e-03,9.147258e+00,4.495920e+02,0.000000e+00,3.048043e-01,2.000000e+00
3.467268e-04,6.260000e+00,7.729495e-01,2.520181e-03,9.257869e+00,4.510432e+02,0.000000e+00,3.061728e-01,2.000000e+00
3.558162e-04,6.250000e+00,7.770222e-01,2.547065e-03,9.370950e+00,4.525188e+02,0.000000e+00,3.075397e-01,2.000000e+00
3.651439e-04,6.245000e+00,7.820923e-01,2.574467e-03,9.486545e+00,4.540189e+02,0.000000e+00,3.089024e-01,2.000000e+00
