p_c,R,M,e(pc),col2(pc)
5.971804e-06,1.532000e+01,3.397961e-01,2.295195e-04,9.829796e+02
6.561600e-06,1.504000e+01,3.599228e-01,2.374309e-04,9.853911e+02
7.209646e-06,1.478500e+01,3.813009e-01,2.455714e-04,9.879612e+02
7.921696e-06,1.455500e+01,4.040445e-01,2.539227e-04,9.906994e+02
8.704070e-06,1.435500e+01,4.282083e-01,2.624108e-04,9.936081e+02
9.563714e-06,1.418000e+01,4.538508e-01,2.711329e-04,9.967094e+02
1.050826e-05,1.403000e+01,4.810747e-01,2.801122e-04,1.000019e+03
1.154609e-05,1.389000e+01,5.099217e-01,2.891467e-04,1.003520e+03
1.268642e-05,1.377000e+01,5.404534e-01,2.984933e-04,1.007266e+03
1.393938e-05,1.366500e+01,5.727404e-01,3.081679e-04,1.011278e+03
1.531608e-05,1.357500e+01,6.068385e-01,3.178958e-04,1.015518e+03
1.682875e-05,1.349500e+01,6.427761e-01,3.279155e-04,1.020049e+03
1.849081e-05,1.342500e+01,6.805813e-01,3.382845e-04,1.024898e+03
2.031703e-05,1.336500e+01,7.202888e-01,3.489767e-04,1.030077e+03
2.232361e-05,1.331500e+01,7.618981e-01,3.598992e-04,1.035591e+03
2.452837e-05,1.327500e+01,8.053980e-01,3.711096e-04,1.041464e+03
2.695087e-05,1.323500e+01,8.507636e-01,3.826956e-04,1.047740e+03
2.961264e-05,1.320500e+01,8.979552e-01,3.946745e-04,1.054448e+03
3.253728e-05,1.318000e+01,9.469194e-01,4.070539e-04,1.061616e+03
3.575078e-05,1.315500e+01,9.975778e-01,4.198468e-04,1.069269e+03
3.928165e-05,1.314000e+01,1.049831e+00,4.330837e-04,1.077440e+03
4.316124e-05,1.312000e+01,1.103554e+00,4.467954e-04,1.086167e+03
4.742399e-05,1.310500e+01,1.158605e+00,4.610039e-04,1.095483e+03
5.210775e-05,1.309000e+01,1.214824e+00,4.757492e-04,1.105430e+03
5.725409e-05,1.308000e+01,1.272024e+00,4.910757e-04,1.116045e+03
6.290870e-05,1.306500e+01,1.330002e+00,5.070411e-04,1.127381e+03
6.912178e-05,1.305000e+01,1.388531e+00,5.236986e-04,1.139487e+03
7.594849e-05,1.303000e+01,1.447369e+00,5.411127e-04,1.152410e+03
8.344942e-05,1.301500e+01,1.506259e+00,5.593652e-04,1.166217e+03
9.169118e-05,1.299000e+01,1.564928e+00,5.785321e-04,1.180966e+03
1.007469e-04,1.297000e+01,1.623097e+00,5.986365e-04,1.196686e+03
1.106970e-04,1.294000e+01,1.680483e+00,6.197739e-04,1.213438e+03
1.216298e-04,1.291000e+01,1.736797e+00,6.421357e-04,1.231345e+03
1.336424e-04,1.287500e+01,1.791750e+00,6.657279e-04,1.250406e+03
1.468414e-04,1.284500e+01,1.824507e+00,1.775270e-03,1.266630e+03
1.613440e-04,1.281500e+01,1.804177e+00,1.832935e-03,1.276040e+03
1.772789e-04,1.276000e+01,1.779366e+00,1.895172e-03,1.286080e+03
1.947876e-04,1.268500e+01,1.751857e+00,1.962325e-03,1.296779e+03
2.140254e-04,1.259500e+01,1.722505e+00,2.034725e-03,1.308153e+03
2.351633e-04,1.249500e+01,1.691909e+00,2.112813e-03,1.320240e+03
2.583889e-04,1.237500e+01,1.660555e+00,2.197039e-03,1.333070e+03
2.839083e-04,1.225000e+01,1.628867e+00,2.287891e-03,1.346671e+03
3.119480e-04,1.211000e+01,1.597198e+00,2.385959e-03,1.361086e+03
3.427571e-04,1.196000e+01,1.565864e+00,2.491785e-03,1.376328e+03
3.766090e-04,1.180000e+01,1.535125e+00,2.606102e-03,1.392447e+03
4.138042e-04,1.163500e+01,1.505219e+00,2.729605e-03,1.409462e+03
4.546729e-04,1.146500e+01,1.476296e+00,2.863138e-03,1.427411e+03
4.995780e-04,1.128500e+01,1.448508e+00,3.007592e-03,1.446320e+03
5.489180e-04,1.110500e+01,1.421914e+00,3.163985e-03,1.466224e+03
6.031310e-04,1.092000e+01,1.396550e+00,3.333457e-03,1.487165e+03
6.626984e-04,1.073000e+01,1.372433e+00,3.517205e-03,1.509155e+03
7.281487e-04,1.054500e+01,1.349519e+00,3.716636e-03,1.532242e+03
8.000632e-04,1.036000e+01,1.327757e+00,3.933254e-03,1.556450e+03
8.790802e-04,1.017500e+01,1.307039e+00,4.168746e-03,1.581810e+03
9.659012e-04,9.990000e+00,1.287305e+00,4.424982e-03,1.608357e+03
1.061297e-03,9.815000e+00,1.268448e+00,4.703993e-03,1.636104e+03
1.166114e-03,9.640000e+00,1.250351e+00,5.008085e-03,1.665094e+03
1.281284e-03,9.465000e+00,1.232870e+00,5.339773e-03,1.695352e+03
1.407828e-03,9.300000e+00,1.215992e+00,5.701836e-03,1.726907e+03
1.546870e-03,9.140000e+00,1.199523e+00,6.097346e-03,1.759777e+03
1.699644e-03,8.985000e+00,1.183462e+00,6.529706e-03,1.794000e+03
